PLAYER_ID,PLAYER_NAME,SEASON,GP,MIN,PTS,AST,REB,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,TARGET_NEXT,NEXT_SEASON
202684,Tristan Thompson,2020-21,54,23.8,7.6,1.2,8.1,0.4,0.6,1.1,0.518,0.0,0.592,0.4,6.0,2021-22
202684,Tristan Thompson,2021-22,57,15.7,6.0,0.6,5.1,0.4,0.4,0.8,0.528,0.333,0.526,-1.1,3.3,2023-24
202685,Jonas Valančiūnas,2019-20,70,26.4,14.9,1.9,11.3,0.4,1.1,1.8,0.585,0.352,0.74,0.1,17.1,2020-21
202685,Jonas Valančiūnas,2020-21,62,28.3,17.1,1.8,12.5,0.6,0.9,1.6,0.592,0.368,0.773,2.2,17.8,2021-22
202685,Jonas Valančiūnas,2021-22,74,30.3,17.8,2.6,11.4,0.6,0.8,2.4,0.544,0.361,0.82,0.9,14.1,2022-23
202685,Jonas Valančiūnas,2022-23,79,24.9,14.1,1.8,10.2,0.3,0.7,2.0,0.547,0.349,0.826,-0.1,12.2,2023-24
202687,Bismack Biyombo,2019-20,53,19.4,7.4,0.9,5.8,0.2,0.9,0.9,0.543,0.0,0.603,-2.9,5.0,2020-21
202687,Bismack Biyombo,2020-21,66,20.4,5.0,1.2,5.3,0.3,1.1,1.1,0.587,0.0,0.448,-4.2,5.8,2021-22
202687,Bismack Biyombo,2021-22,36,14.1,5.8,0.6,4.6,0.3,0.7,0.7,0.593,0.0,0.535,1.4,4.3,2022-23
202687,Bismack Biyombo,2022-23,61,14.3,4.3,0.9,4.3,0.3,1.4,0.8,0.578,0.0,0.357,0.8,4.4,2023-24
202689,Kemba Walker,2019-20,56,31.1,20.4,4.8,3.9,0.9,0.5,2.1,0.425,0.381,0.864,4.4,19.3,2020-21
202689,Kemba Walker,2020-21,43,31.8,19.3,4.9,4.0,1.1,0.3,2.0,0.42,0.36,0.899,2.2,11.6,2021-22
202691,Klay Thompson,2021-22,32,29.4,20.4,2.8,3.9,0.5,0.5,1.3,0.429,0.385,0.902,2.1,21.9,2022-23
202691,Klay Thompson,2022-23,69,33.0,21.9,2.4,4.1,0.7,0.4,1.8,0.436,0.412,0.879,2.4,17.9,2023-24
202692,Alec Burks,2019-20,66,26.6,15.0,2.9,4.3,0.9,0.3,1.4,0.418,0.385,0.887,-3.4,12.7,2020-21
202692,Alec Burks,2020-21,49,25.6,12.7,2.2,4.6,0.6,0.3,1.0,0.42,0.415,0.856,2.6,11.7,2021-22
202692,Alec Burks,2021-22,81,28.6,11.7,3.0,4.9,1.0,0.3,1.1,0.391,0.404,0.822,1.5,12.8,2022-23
202692,Alec Burks,2022-23,51,22.0,12.8,2.2,3.1,0.7,0.2,1.1,0.436,0.414,0.814,-0.1,10.4,2023-24
202693,Markieff Morris,2019-20,58,20.5,9.7,1.3,3.8,0.5,0.3,1.3,0.443,0.386,0.776,-2.2,6.7,2020-21
202693,Markieff Morris,2020-21,61,19.7,6.7,1.2,4.4,0.4,0.3,0.9,0.405,0.311,0.72,0.3,7.6,2021-22
202693,Markieff Morris,2021-22,17,17.5,7.6,1.4,2.6,0.4,0.1,1.2,0.474,0.333,0.889,1.1,3.8,2022-23
202693,Markieff Morris,2022-23,35,10.1,3.8,0.9,2.0,0.3,0.1,0.5,0.409,0.394,1.0,0.3,2.5,2023-24
202694,Marcus Morris Sr.,2019-20,62,31.2,16.7,1.4,5.0,0.8,0.5,1.6,0.438,0.408,0.823,0.7,13.4,2020-21
202694,Marcus Morris Sr.,2020-21,57,26.3,13.4,1.0,4.1,0.6,0.3,1.0,0.473,0.473,0.82,2.3,15.4,2021-22
202694,Marcus Morris Sr.,2021-22,54,29.0,15.4,2.1,4.4,0.5,0.3,1.3,0.434,0.367,0.872,-2.6,11.2,2022-23
202694,Marcus Morris Sr.,2022-23,65,28.1,11.2,1.8,4.0,0.6,0.3,0.9,0.426,0.365,0.782,-0.2,6.4,2023-24
202695,Kawhi Leonard,2019-20,57,32.4,27.1,4.9,7.1,1.8,0.6,2.6,0.47,0.378,0.886,8.4,24.8,2020-21
202695,Kawhi Leonard,2020-21,52,34.1,24.8,5.2,6.5,1.6,0.4,2.0,0.512,0.398,0.885,8.6,23.8,2022-23
202695,Kawhi Leonard,2022-23,52,33.6,23.8,3.9,6.5,1.4,0.5,1.7,0.512,0.416,0.871,4.2,23.7,2023-24
202696,Nikola Vučević,2019-20,62,32.2,19.6,3.6,10.9,0.9,0.8,1.4,0.477,0.339,0.784,0.8,23.4,2020-21
202696,Nikola Vučević,2020-21,70,33.5,23.4,3.8,11.7,0.9,0.7,1.8,0.477,0.4,0.84,-4.9,17.6,2021-22
202696,Nikola Vučević,2021-22,73,33.1,17.6,3.2,11.0,1.0,1.0,1.9,0.473,0.314,0.76,-0.7,17.6,2022-23
202696,Nikola Vučević,2022-23,82,33.5,17.6,3.2,11.0,0.7,0.7,1.7,0.52,0.349,0.835,-0.2,18.0,2023-24
202699,Tobias Harris,2019-20,72,34.3,19.6,3.2,6.9,0.7,0.6,1.4,0.471,0.367,0.806,2.2,19.5,2020-21
202699,Tobias Harris,2020-21,62,32.5,19.5,3.5,6.8,0.9,0.8,1.7,0.512,0.394,0.892,5.2,17.2,2021-22
202699,Tobias Harris,2021-22,73,34.8,17.2,3.5,6.8,0.6,0.6,1.6,0.482,0.367,0.842,2.3,14.7,2022-23
202699,Tobias Harris,2022-23,74,32.9,14.7,2.5,5.7,0.9,0.5,1.2,0.501,0.389,0.876,4.0,17.2,2023-24
